"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"11866","Chevrolet",2013,109861,1.4,1,"Petrol","Front-wheel Drive",26,38,0,0,0,1,0,0,8687
"11924","MINI",2012,87974,1.6,1,"Petrol","Front-wheel Drive",21,30,1,0,0,0,0,0,9995
"11981","Cadillac",2016,65313,3,1,"Petrol","Four-wheel Drive",18,25,1,0,1,1,0,1,29668
"12040","Cadillac",2019,38187,3.6,1,"Petrol","Four-wheel Drive",14,19,0,1,0,1,0,1,31997
"12100","MINI",2020,64522,1.5,1,"Petrol","Front-wheel Drive",25,30,1,1,0,1,0,0,20980
"12164","Chevrolet",2016,95526,2,1,"Petrol","Front-wheel Drive",22,33,0,0,1,1,0,1,14555
"12220","Lexus",2021,19367,2,1,"Petrol","Four-wheel Drive",19,26,0,1,1,1,0,0,33900
"12279","Hyundai",2022,13756,1.6,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,0,0,0,0,40999
"12336","Volkswagen",2018,80048,3.6,1,"Petrol","Four-wheel Drive",22,27,1,0,1,1,1,1,29608
"12393","Lexus",2013,133563,3.5,1,"Petrol","Front-wheel Drive",17,25,1,1,1,1,0,1,14995
"12452","Jeep",2017,86201,2.4,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,17990
"12513","FIAT",2017,56043,1.4,1,"Petrol","Rear-wheel Drive",26,35,0,0,1,1,0,1,19391
"12576","Kia",2016,91757,2.4,1,"Petrol","Four-wheel Drive",18,25,0,0,0,1,0,0,13361
"12633","Ford",2016,63086,2.3,0,"Petrol","Four-wheel Drive",19,25,1,0,0,1,0,0,29499
"12690","Jaguar",2020,9686,2,1,"Petrol","Four-wheel Drive",20,28,0,1,0,1,0,0,35000
"12744","Honda",2017,78573,2,1,"Petrol","Front-wheel Drive",31,40,1,0,0,1,0,0,18176
"12809","MINI",2018,43911,2,1,"Petrol","Four-wheel Drive",28,36,0,0,0,1,0,0,26998
"12867","Hyundai",2014,85643,2,1,"Petrol","Four-wheel Drive",36,37,0,0,0,1,0,0,11849
"12925","Hyundai",2018,59258,2,1,"Petrol","Front-wheel Drive",17,27,1,1,0,1,0,1,16497
"12979","Jaguar",2015,65832,3,1,"Petrol","Four-wheel Drive",19,30,1,0,1,1,0,1,26995
"13034","Jeep",2019,33965,3.2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,23913
"13090","Audi",2016,50374,2,1,"Petrol","Four-wheel Drive",20,28,1,0,0,1,0,1,21787
"13152","Jaguar",2021,8565,2,1,"Petrol","Four-wheel Drive",22,27,0,0,1,1,0,1,38997
"13211","Jaguar",2019,23284,NA,1,"Petrol","Four-wheel Drive",18,23,1,1,1,1,0,1,49888
"13267","Lexus",2019,21875,3.5,1,"Petrol","Four-wheel Drive",15,19,0,1,0,1,0,1,38500
"13324","FIAT",2019,79067,1.3,1,"Petrol","Four-wheel Drive",24,30,1,0,1,1,0,1,19450
"13384","MINI",2019,40668,2,1,"Petrol","Front-wheel Drive",27,34,1,0,0,1,0,0,27000
"13440","Jeep",2019,52910,3.6,1,"Petrol","Four-wheel Drive",17,23,0,0,1,1,0,1,35455
"13499","Hyundai",2015,102404,1.6,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,0,11988
"13559","Mercedes-Benz",2020,25964,3,1,"Petrol","Four-wheel Drive",19,26,0,1,1,1,0,0,47968
"13615","Volvo",2007,73076,2.5,1,"Petrol","Four-wheel Drive",20,25,1,1,0,0,0,0,16950
"13676","Lexus",2017,34368,4.6,1,"Petrol","Four-wheel Drive",28,31,0,0,1,1,1,0,39998
"13734","Volvo",2017,78218,2,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,0,0,24359
"13794","Ford",2018,56427,2.3,0,"Petrol","Rear-wheel Drive",21,31,0,0,0,1,0,0,23000
"13856","Volkswagen",2017,59516,2,1,"Petrol","Front-wheel Drive",22,29,1,0,1,1,0,1,20050
"13915","Volvo",2022,15065,2,1,"Petrol","Four-wheel Drive",22,30,0,1,1,1,1,1,52995
"13972","Toyota",2015,84119,2.7,1,"Petrol","Rear-wheel Drive",19,24,0,0,0,1,0,0,23998
"14031","Mitsubishi",2022,11123,2.5,1,"Petrol","Four-wheel Drive",24,30,0,1,1,1,1,1,29888
"14089","FIAT",2015,49499,NA,1,"Electric","Front-wheel Drive",NA,NA,0,0,1,1,0,1,9744
"14146","Volvo",2022,6162,2,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,1,0,46220
